	Neighborhood	SalePrice
347	NAmes	157500
348	NridgHt	154000
349	NridgHt	437154
350	NridgHt	318061
351	ClearCr	190000
352	Edwards	95000
353	OldTown	105900
354	SWISU	140000
355	CollgCr	177500
356	Gilbert	173000
357	MeadowV	134000
358	ClearCr	130000
359	NoRidge	280000
360	Mitchel	156000
361	BrkSide	145000
362	Edwards	198500
363	BrDale	118000
364	NWAmes	190000
365	IDOTRR	147000
366	NAmes	159000
367	NAmes	165000
368	NAmes	132000
369	NAmes	162000
370	Gilbert	172400
371	ClearCr	134432
372	SawyerW	125000
373	NAmes	123000
374	CollgCr	219500
375	Edwards	61000
376	CollgCr	148000
377	Somerst	340000
378	StoneBr	394432
379	Gilbert	179000
380	SWISU	127000
381	Somerst	187750
382	CollgCr	213500
383	SawyerW	76000
384	ClearCr	240000
385	Blmngtn	192000
386	Edwards	81000
387	Edwards	125000
388	CollgCr	191000
389	NridgHt	426000
390	Edwards	119000
391	Mitchel	215000
392	NAmes	106500
393	BrkSide	100000
394	OldTown	109000
395	Edwards	129000
396	CollgCr	123000
397	NAmes	169500
398	IDOTRR	67000
399	Somerst	241000
400	Veenker	245500
401	CollgCr	164990
402	Sawyer	108000
403	NoRidge	258000
404	Gilbert	168000
405	Sawyer	150000
406	SWISU	115000
407	Crawfor	177000
408	NridgHt	280000
409	Somerst	339750
410	Edwards	60000
411	Gilbert	145000
412	Somerst	222000
413	OldTown	115000
414	SawyerW	228000
415	Gilbert	181134
416	Sawyer	149500
417	Crawfor	239000
418	Edwards	126000
419	NAmes	142000
420	Mitchel	206300
421	NWAmes	215000
422	Mitchel	113000
423	NoRidge	315000
424	NAmes	139000
425	OldTown	135000
426	SawyerW	275000
427	NAmes	109008
428	CollgCr	195400
429	Timber	175000
430	BrDale	85400
431	OldTown	79900
432	BrDale	122500
433	Gilbert	181000
434	MeadowV	81000
435	CollgCr	212000
436	OldTown	116000
437	BrkSide	119000
438	Crawfor	90350
439	Edwards	110000
440	NridgHt	555000
441	Edwards	118000
442	BrkSide	162900
443	Blmngtn	172500
444	CollgCr	210000
445	Edwards	127500
446	NAmes	190000
447	Gilbert	199900
448	IDOTRR	119500
449	OldTown	120000
450	OldTown	110000
451	ClearCr	280000
452	Timber	204000
453	Somerst	210000
454	Mitchel	188000
455	NWAmes	175500
456	OldTown	98000
457	ClearCr	256000
458	OldTown	161000
459	BrkSide	110000
460	Somerst	263435
461	SWISU	155000
462	Sawyer	62383
463	Crawfor	188700
464	CollgCr	124000
465	Blmngtn	178740
466	NAmes	167000
467	NAmes	146500
468	NridgHt	250000
469	SawyerW	187000
470	StoneBr	212000
471	NWAmes	190000
472	Edwards	148000
473	NridgHt	440000
474	StoneBr	251000
475	Sawyer	132500
476	CollgCr	208900
477	NridgHt	380000
478	CollgCr	297000
479	OldTown	89471
480	NridgHt	326000
481	NridgHt	374000
482	OldTown	155000
483	Mitchel	164000
484	Sawyer	132500
485	NAmes	147000
486	NAmes	156000
487	NWAmes	175000
488	OldTown	160000
489	MeadowV	86000
490	MeadowV	115000
491	NAmes	133000
492	Gilbert	172785
493	NAmes	155000
494	OldTown	91300
495	IDOTRR	34900
496	NoRidge	430000
497	BrkSide	184000
498	Sawyer	130000
499	NAmes	120000
500	BrDale	113000
501	Somerst	226700
502	Edwards	140000
503	Crawfor	289000
504	NPkVill	147000
505	OldTown	124500
506	SawyerW	215000
507	Somerst	208300
508	OldTown	161000
509	NAmes	124500
510	NAmes	164900
511	NridgHt	202665
512	NAmes	129900
513	Mitchel	134000
514	Crawfor	96500
515	NridgHt	402861
516	NWAmes	158000
517	NoRidge	265000
518	CollgCr	211000
519	Crawfor	234000
520	OldTown	106250
521	NAmes	150000
522	BrkSide	159000
523	Edwards	184750
524	NoRidge	315750
525	Somerst	176000
526	NAmes	132000
527	NridgHt	446261
528	Edwards	86000
529	Crawfor	200624
530	Timber	175000
531	BrkSide	128000
532	NAmes	107500
533	BrkSide	39300
534	Gilbert	178000
535	Edwards	107500
536	CollgCr	188000
537	NAmes	111250
538	Sawyer	158000
539	CollgCr	272000
540	Timber	315000
541	NoRidge	248000
542	NWAmes	213250
543	NAmes	133000
544	Gilbert	179665
545	NWAmes	229000
546	BrkSide	210000
547	Mitchel	129500
548	OldTown	125000
549	Somerst	263000
550	NPkVill	140000
551	OldTown	112500
552	NridgHt	255500
553	Edwards	108000
554	NridgHt	284000
555	BrkSide	113000
556	NAmes	141000
557	IDOTRR	108000
558	Gilbert	175000
559	Blmngtn	234000
560	Sawyer	121500
561	Mitchel	170000
562	Edwards	108000
563	Edwards	185000
564	NoRidge	268000
565	SWISU	128000
566	StoneBr	325000
567	NridgHt	214000
568	SawyerW	316600
569	NAmes	135960
570	NAmes	142600
571	NAmes	120000
572	Timber	224500
573	Gilbert	170000
574	NAmes	139000
575	NAmes	118500
576	SWISU	145000
577	Sawyer	164500
578	Somerst	146000
579	OldTown	131500
580	NAmes	181900
581	NridgHt	253293
582	Edwards	118500
583	OldTown	325000
584	BrkSide	133000
585	Timber	369900
586	BrkSide	130000
587	Sawyer	137000
588	ClearCr	143000
589	BrkSide	79500
590	CollgCr	185900
591	NridgHt	451950
592	Mitchel	138000
593	CollgCr	140000
594	CollgCr	110000
595	StoneBr	319000
596	OldTown	114504
597	Blmngtn	194201
598	Crawfor	217500
599	Blueste	151000
600	NridgHt	275000
601	IDOTRR	141000
602	SawyerW	220000
603	Somerst	151000
604	CollgCr	221000
605	NAmes	205000
606	CollgCr	152000
607	Edwards	225000
608	Crawfor	359100
609	Sawyer	118500
610	CollgCr	313000
611	NWAmes	148000
612	CollgCr	261500
613	Mitchel	147000
614	MeadowV	75500
615	NAmes	137500
616	Gilbert	183200
617	NAmes	105500
618	NridgHt	314813
619	Timber	305000
620	Edwards	67000
621	NWAmes	240000
622	Sawyer	135000
623	Somerst	168500
624	NWAmes	165150
625	NAmes	160000
626	NAmes	139900
627	NAmes	153000
628	NAmes	135000
629	NAmes	168500
630	OldTown	124000
631	NridgHt	209500
632	NWAmes	82500
633	NAmes	139400
634	OldTown	144000
635	SWISU	200000
636	BrkSide	60000
637	OldTown	93000
638	Edwards	85000
639	Blmngtn	264561
640	NridgHt	274000
641	Somerst	226000
642	NAmes	345000
643	NWAmes	152000
644	Somerst	370878
645	NAmes	143250
646	NAmes	98300
647	Edwards	155000
648	NAmes	155000
649	MeadowV	84500
650	Somerst	205950
651	Edwards	108000
652	CollgCr	191000
653	IDOTRR	135000
654	NoRidge	350000
655	BrDale	88000
656	NAmes	145500
657	Crawfor	149000
658	NAmes	97500
659	Edwards	167000
660	NWAmes	197900
661	NoRidge	402000
662	NAmes	110000
663	Edwards	137500
664	Somerst	423000
665	Gilbert	230500
666	NAmes	129000
667	SawyerW	193500
668	Sawyer	168000
669	Crawfor	137500
670	CollgCr	173500
671	Edwards	103600
672	Veenker	165000
673	Crawfor	257500
674	NAmes	140000
675	NPkVill	148500
676	OldTown	87000
677	OldTown	109500
678	StoneBr	372500
679	Sawyer	128500
680	SawyerW	143000
681	SWISU	159434
682	ClearCr	173000
683	CollgCr	285000
684	NoRidge	221000
685	StoneBr	207500
686	Somerst	227875
687	Somerst	148800
688	StoneBr	392000
689	NridgHt	194700
690	CollgCr	141000
691	NoRidge	755000
692	Timber	335000
693	OldTown	108480
694	BrkSide	141500
695	Timber	176000
696	BrkSide	89000
697	Edwards	123500
698	Sawyer	138500
699	Somerst	196000
700	Timber	312500
701	NWAmes	140000
702	StoneBr	361919
703	OldTown	140000
704	CollgCr	213000
705	IDOTRR	55000
706	ClearCr	302000
707	NridgHt	254000
708	Gilbert	179540
709	Sawyer	109900
710	BrkSide	52000
711	IDOTRR	102776
712	StoneBr	189000
713	BrkSide	129000
714	Sawyer	130500
715	NWAmes	165000
716	OldTown	159500
717	NWAmes	157000
718	NoRidge	341000
719	CollgCr	128500
720	StoneBr	275000
721	CollgCr	143000
722	NAmes	124500
723	Edwards	135000
724	Edwards	320000
725	NAmes	120500
726	Crawfor	222000
727	CollgCr	194500
728	NAmes	110000
729	IDOTRR	103000
730	StoneBr	236500
731	Timber	187500
732	CollgCr	222500
733	Sawyer	131400
734	Sawyer	108000
735	OldTown	163000
736	NAmes	93500
737	Gilbert	239900
738	Edwards	179000
739	CollgCr	190000
740	OldTown	132000
741	Sawyer	142000
742	SawyerW	179000
743	Sawyer	175000
744	StoneBr	180000
745	NWAmes	299800
746	Gilbert	236000
747	OldTown	265979
748	NoRidge	260400
749	Edwards	98000
750	OldTown	96500
751	Gilbert	162000
752	CollgCr	217000
753	NridgHt	275500
754	NAmes	156000
755	Somerst	172500
756	CollgCr	212000
757	Sawyer	158900
758	Somerst	179400
759	NoRidge	290000
760	NAmes	127500
761	BrkSide	100000
762	Somerst	215200
763	NoRidge	337000
764	Veenker	270000
765	Somerst	264132
766	NWAmes	196500
767	Mitchel	160000
768	CollgCr	216837
769	StoneBr	538000
770	Sawyer	134900
771	Edwards	102000
772	Edwards	107000
773	NAmes	114500
774	NridgHt	395000
775	Mitchel	162000
776	CollgCr	221500
777	Sawyer	142500
778	SawyerW	144000
779	Mitchel	135000
780	Gilbert	176000
781	SawyerW	175900
782	CollgCr	187100
783	Mitchel	165500
784	OldTown	128000
785	NWAmes	161500
786	OldTown	139000
787	SawyerW	233000
788	OldTown	107900
789	ClearCr	187500
790	Blmngtn	160200
791	Mitchel	146800
792	NoRidge	269790
793	Somerst	225000
794	Gilbert	194500
795	SawyerW	171000
796	Sawyer	143500
797	NAmes	110000
798	NridgHt	485000
799	SWISU	175000
800	ClearCr	200000
801	IDOTRR	109900
802	CollgCr	189000
803	NridgHt	582933
804	NAmes	118000
805	Somerst	227680
806	NAmes	135500
807	BrkSide	223500
808	NAmes	159950
809	OldTown	106000
810	NWAmes	181000
811	CollgCr	144500
812	IDOTRR	55993
813	NAmes	157900
814	Edwards	116000
815	CollgCr	224900
816	NAmes	137000
817	Mitchel	271000
818	ClearCr	155000
819	NridgHt	224000
820	CollgCr	183000
821	OldTown	93000
822	Gilbert	225000
823	SWISU	139500
824	Somerst	232600
825	NridgHt	385000
826	BrkSide	109500
827	SawyerW	189000
828	ClearCr	185000
829	Somerst	147400
830	NAmes	166000
831	Somerst	151000
832	CollgCr	237000
833	NAmes	167000
834	NAmes	139950
835	Sawyer	128000
836	OldTown	153500
837	BrDale	100000
838	CollgCr	144000
839	Edwards	130500
840	SWISU	140000
841	OldTown	157500
842	NAmes	174900
843	NAmes	141000
844	OldTown	153900
845	Sawyer	171000
846	SawyerW	213000
847	CollgCr	133500
848	ClearCr	240000
849	Veenker	187000
850	CollgCr	131500
851	Blmngtn	215000
852	Crawfor	164000
853	NAmes	158000
854	Sawyer	170000
855	Sawyer	127000
856	CollgCr	147000
857	Gilbert	174000
858	NWAmes	152000
859	NWAmes	250000
860	Crawfor	189950
861	Sawyer	131500
862	SawyerW	152000
863	NAmes	132500
864	Somerst	250580
865	NAmes	148500
866	Timber	248900
867	Sawyer	129000
868	Gilbert	169000
869	SawyerW	236000
870	NAmes	109500
871	CollgCr	200500
872	NAmes	116000
873	NAmes	133000
874	OldTown	66500
875	Somerst	303477
876	Mitchel	132250
877	NridgHt	350000
878	Sawyer	148000
879	CollgCr	136500
880	Edwards	157000
881	Timber	187500
882	Gilbert	178000
883	SWISU	118500
884	NAmes	100000
885	Somerst	328900
886	NAmes	145000
887	Edwards	135500
888	NAmes	268000
889	NAmes	149500
890	NAmes	122900
891	Sawyer	172500
892	Sawyer	154500
893	Sawyer	165000
894	SawyerW	118858
895	NAmes	140000
896	IDOTRR	106500
897	SawyerW	142953
898	NridgHt	611657
899	Sawyer	135000
900	NAmes	110000
901	NAmes	153000
902	Gilbert	180000
903	Gilbert	240000
904	Sawyer	125500
905	NAmes	128000
906	Somerst	255000
907	Crawfor	250000
908	Mitchel	131000
909	Gilbert	174000
910	NAmes	154300
911	CollgCr	143500
912	BrkSide	88000
913	Crawfor	145000
914	Somerst	173733
915	MeadowV	75000
916	IDOTRR	35311
917	Edwards	135000
918	SawyerW	238000
919	NAmes	176500
920	SawyerW	201000
921	Edwards	145900
922	Gilbert	169990
923	SawyerW	193000
924	NWAmes	207500
925	NWAmes	175000
926	NridgHt	285000
927	NWAmes	176000
928	CollgCr	236500
929	Gilbert	222000
930	Timber	201000
931	NAmes	117500
932	Somerst	320000
933	CollgCr	190000
934	NAmes	242000
935	BrkSide	79900
936	SawyerW	184900
937	Somerst	253000
938	CollgCr	239799
939	ClearCr	244400
940	Mitchel	150900
941	Gilbert	214000
942	Edwards	150000
943	Mitchel	143000
944	Timber	137500
945	OldTown	124900
946	NAmes	143000
947	Timber	270000
948	CollgCr	192500
949	NWAmes	197500
950	NAmes	129000
951	SawyerW	119900
952	CollgCr	133900
953	Mitchel	172000
954	Edwards	127500
955	Crawfor	145000
956	Blueste	124000
957	Sawyer	132000
958	CollgCr	185000
959	Somerst	155000
960	BrkSide	116500
961	NWAmes	272000
962	NPkVill	155000
963	CollgCr	239000
964	Timber	214900
965	Gilbert	178900
966	Crawfor	160000
967	NAmes	135000
968	OldTown	37900
969	NAmes	140000
970	NAmes	135000
971	NridgHt	173000
972	SawyerW	99500
973	Somerst	182000
974	BrkSide	167500
975	Somerst	165000
976	BrkSide	85500
977	Somerst	199900
978	Edwards	110000
979	Sawyer	139000
980	NAmes	178400
981	NoRidge	336000
982	Blmngtn	159895
983	CollgCr	255900
984	Mitchel	126000
985	Edwards	125000
986	OldTown	117000
987	NridgHt	395192
988	NWAmes	195000
989	Somerst	197000
990	NoRidge	348000
991	OldTown	168000
992	NAmes	187000
993	CollgCr	173900
994	NridgHt	337500
995	BrkSide	121600
996	NAmes	136500
997	NWAmes	185000
998	IDOTRR	91000
999	CollgCr	206000
1000	Edwards	82000
1001	OldTown	86000
1002	Somerst	232000
1003	NWAmes	136905
1004	Blmngtn	181000
1005	CollgCr	149900
1006	NAmes	163500
1007	MeadowV	88000
1008	Mitchel	240000
1009	SWISU	102000
1010	Sawyer	135000
1011	Edwards	100000
1012	Crawfor	165000
1013	OldTown	85000
1014	NAmes	119200
1015	NWAmes	227000
1016	CollgCr	203000
1017	StoneBr	187500
1018	Gilbert	160000
1019	Blmngtn	213490
1020	Edwards	176000
1021	CollgCr	194000
1022	OldTown	87000
1023	Blmngtn	191000
1024	Timber	287000
1025	CollgCr	112500
1026	NAmes	167500
1027	Timber	293077
1028	NAmes	105000
1029	BrDale	118000
1030	SWISU	160000
1031	SWISU	197000
1032	NoRidge	310000
1033	CollgCr	230000
1034	Crawfor	119750
1035	Edwards	84000
1036	Timber	315500
1037	CollgCr	287000
1038	MeadowV	97000
1039	MeadowV	80000
1040	Sawyer	155000
1041	NWAmes	173000
1042	NridgHt	196000
1043	SawyerW	262280
1044	NWAmes	278000
1045	Edwards	139600
1046	StoneBr	556581
1047	CollgCr	145000
1048	Mitchel	115000
1049	Edwards	84900
1050	Gilbert	176485
1051	CollgCr	200141
1052	NAmes	165000
1053	Edwards	144500
1054	CollgCr	255000
1055	NWAmes	180000
1056	NridgHt	185850
1057	NoRidge	248000
1058	NridgHt	335000
1059	Crawfor	220000
1060	StoneBr	213500
1061	IDOTRR	81000
1062	OldTown	90000
1063	OldTown	110500
1064	NAmes	154000
1065	ClearCr	328000
1066	Gilbert	178000
1067	NAmes	167900
1068	MeadowV	151400
1069	NAmes	135000
1070	NAmes	135000
1071	NWAmes	154000
1072	Edwards	91500
1073	Edwards	159500
1074	CollgCr	194000
1075	Crawfor	219500
1076	OldTown	170000
1077	NAmes	138800
1078	CollgCr	155900
1079	CollgCr	126000
1080	NWAmes	145000
1081	Sawyer	133000
1082	CollgCr	192000
1083	NAmes	160000
1084	Gilbert	187500
1085	SawyerW	147000
1086	MeadowV	83500
1087	Somerst	252000
1088	Edwards	137500
1089	Somerst	197000
1090	NAmes	92900
1091	Somerst	160000
1092	SWISU	136500
1093	NAmes	146000
1094	NAmes	129000
1095	CollgCr	176432
1096	IDOTRR	127000
1097	StoneBr	170000
1098	BrkSide	128000
1099	NWAmes	157000
1100	SWISU	60000
1101	NAmes	119500
1102	NAmes	135000
1103	NAmes	159500
1104	BrDale	106000
1105	NoRidge	325000
1106	SawyerW	179900
1107	Gilbert	274725
1108	Gilbert	181000
1109	NridgHt	280000
1110	Gilbert	188000
1111	NWAmes	205000
1112	NAmes	129900
1113	NAmes	134500
1114	OldTown	117000
1115	NridgHt	318000
1116	Gilbert	184100
1117	Sawyer	130000
1118	Sawyer	140000
1119	NAmes	133700
1120	IDOTRR	118400
1121	CollgCr	212900
1122	Edwards	112000
1123	Edwards	118000
1124	Gilbert	163900
1125	NAmes	115000
1126	Blmngtn	174000
1127	Gilbert	259000
1128	Gilbert	215000
1129	OldTown	140000
1130	SWISU	135000
1131	Mitchel	93500
1132	OldTown	117500
1133	SawyerW	239500
1134	Gilbert	169000
1135	BrkSide	102000
1136	NAmes	119000
1137	Sawyer	94000
1138	Mitchel	196000
1139	BrkSide	144000
1140	NAmes	139000
1141	NWAmes	197500
1142	CollgCr	424870
1143	Sawyer	80000
1144	Edwards	80000
1145	BrkSide	149000
1146	SawyerW	180000
1147	Crawfor	174500
1148	OldTown	116900
1149	OldTown	143000
1150	NAmes	124000
1151	Edwards	149900
1152	Crawfor	230000
1153	IDOTRR	120500
1154	NAmes	201800
1155	Veenker	218000
1156	NAmes	179900
1157	NridgHt	230000
1158	Somerst	235128
1159	NWAmes	185000
1160	NPkVill	146000
1161	Crawfor	224000
1162	Sawyer	129000
1163	Sawyer	108959
1164	Veenker	194000
1165	NridgHt	233170
1166	CollgCr	245350
1167	Gilbert	173000
1168	Edwards	235000
1169	NoRidge	625000
1170	Mitchel	171000
1171	NAmes	163000
1172	Somerst	171900
1173	ClearCr	200500
1174	Crawfor	239000
1175	NoRidge	285000
1176	Mitchel	119500
1177	OldTown	115000
1178	Crawfor	154900
1179	Edwards	93000
1180	Timber	250000
1181	Crawfor	392500
1182	NoRidge	745000
1183	OldTown	120000
1184	Timber	186700
1185	Edwards	104900
1186	OldTown	95000
1187	NoRidge	262000
1188	CollgCr	195000
1189	Gilbert	189000
1190	Mitchel	168000
1191	Somerst	174000
1192	OldTown	125000
1193	Mitchel	165000
1194	Sawyer	158000
1195	Gilbert	176000
1196	Gilbert	219210
1197	OldTown	144000
1198	CollgCr	178000
1199	Sawyer	148000
1200	NAmes	116050
1201	CollgCr	197900
1202	BrkSide	117000
1203	CollgCr	213000
1204	NWAmes	153500
1205	SawyerW	271900
1206	SawyerW	107000
1207	CollgCr	200000
1208	NAmes	140000
1209	Somerst	290000
1210	SawyerW	189000
1211	Gilbert	164000
1212	Edwards	113000
1213	Sawyer	145000
1214	NAmes	134500
1215	Sawyer	125000
1216	Sawyer	112000
1217	Somerst	229456
1218	BrkSide	80500
1219	BrDale	91500
1220	NAmes	115000
1221	Sawyer	134000
1222	NAmes	143000
1223	NAmes	137900
1224	Gilbert	184000
1225	NAmes	145000
1226	Somerst	214000
1227	NAmes	147000
1228	NridgHt	367294
1229	NAmes	127000
1230	Sawyer	190000
1231	NAmes	132500
1232	NAmes	101800
1233	NAmes	142000
1234	SWISU	130000
1235	Crawfor	138887
1236	NridgHt	175500
1237	CollgCr	195000
1238	SawyerW	142500
1239	Timber	265900
1240	CollgCr	224900
1241	Somerst	248328
1242	NWAmes	170000
1243	NridgHt	465000
1244	Crawfor	230000
1245	NWAmes	178000
1246	Somerst	186500
1247	Mitchel	169900
1248	OldTown	129500
1249	NAmes	119000
1250	NAmes	244000
1251	NridgHt	171750
1252	Mitchel	130000
1253	Veenker	294000
1254	Edwards	165400
1255	BrkSide	127500
1256	NoRidge	301500
1257	Edwards	99900
1258	Gilbert	190000
1259	NAmes	151000
1260	Gilbert	181000
1261	NAmes	128900
1262	ClearCr	161500
1263	BrkSide	180500
1264	NAmes	181000
1265	Somerst	183900
1266	OldTown	122000
1267	Timber	378500
1268	Crawfor	381000
1269	NAmes	144000
1270	ClearCr	260000
1271	NWAmes	185750
1272	Sawyer	137000
1273	Edwards	177000
1274	Crawfor	139000
1275	NAmes	137000
1276	NWAmes	162000
1277	NWAmes	197900
1278	CollgCr	237000
1279	IDOTRR	68400
1280	CollgCr	227000
1281	Timber	180000
1282	CollgCr	150500
1283	Mitchel	139000
1284	SWISU	169000
1285	BrkSide	132500
1286	NWAmes	143000
1287	ClearCr	190000
1288	StoneBr	278000
1289	NridgHt	281000
1290	NAmes	180500
